,ngram,risk_factor,umls_id,umls_term
451,Hypertrophy of septomarginal trabeculation,heart,C0020564,Hypertrophy
452,Hypertrophy of septomarginal trabeculation,heart,C2610480,trabecula formation
453,Hypostasis,heart,C0232355,Hypostasis
454,Hypotensive episode,heart,C0520541,Hypotensive episode
455,Idiopathic hypertrophic subaortic stenosis,heart,C0700053,Idiopathic hypertrophic subaortic stenosis
456,Idiopathic pulmonary arterial hypertension,heart,C3203102,Idiopathic pulmonary arterial hypertension
457,Idioventricular rhythm,heart,C0700363,Idioventricular rhythm
458,Impending shock,heart,C1532281,Impending shock
459,Increased vascular flow,heart,C0442805,Increase
460,Increased vascular flow,heart,C0232338,Blood flow
461,Indeterminate atrial arrangement,heart,C0205258,Indeterminate
462,Ineffective tissue perfusion,heart,C3242229,ineffective
463,Ineffective tissue perfusion,heart,C0429877,Tissue perfusion measure
464,Infarction of spinal cord,heart,C0021308,Infarction
465,Infarction of spinal cord,heart,C0037925,Spinal Cord
466,Infectious disease of heart,heart,C0009450,Communicable Diseases
467,Infectious disease of heart,heart,C0018787,Heart
468,Infective endocarditis,heart,C1541923,Infective endocarditis
469,Inflammation of fetal umbilical artery,heart,C0021368,Inflammation
470,Inflammation of fetal umbilical artery,heart,C0041632,Structure of umbilical artery
471,Inflammatory cardiomyopathy,heart,C3532222,Inflammatory cardiomyopathy
472,Injury of aorta,heart,C3263723,Traumatic injury
473,Injury of aorta,heart,C0003483,Aorta
474,Injury of artery,heart,C3263723,Traumatic injury
475,Injury of artery,heart,C0003842,Arteries
476,Injury of vein,heart,C3263723,Traumatic injury
477,Injury of vein,heart,C0042449,Veins
478,Interrupted aortic arch,heart,C0152419,Interrupted aortic arch
479,Interstitial myocarditis,heart,C0027060,Interstitial myocarditis
480,Intracranial thrombophlebitis,heart,C0281884,Intracranial thrombophlebitis
481,Irregular heart beat,heart,C0205271,Irregular
482,Irregular heart beat,heart,C0425583,Heart beat
483,Ischemia,heart,C0022116,Ischemia
484,Ischemic gangrene,heart,C1304451,Ischemic gangrene
485,Ischemic maculopathy,heart,C0730286,Ischemic maculopathy
486,Ischemic steal syndrome,heart,C4274472,Ischemic steal syndrome
487,Ischemic stroke,heart,C0475224,Ischemic
488,Jugular venous engorgement,heart,C0022427,Structure of jugular vein
489,Jugular venous engorgement,heart,C0042484,Venous Engorgement
490,Labile blood pressure,heart,C0428895,Labile blood pressure
491,Late fetal heart deceleration,heart,C0429482,Late fetal heart deceleration
492,Left atrial dilatation,heart,C0344720,Left atrial dilatation
493,Left atrial hypertrophy,heart,C0238705,Left atrial hypertrophy
494,Left axis deviation,heart,C0232297,Left axis deviation
495,Left main coronary artery disease,heart,C1299433,Left main coronary artery disease
496,Left parasternal pansystolic murmur,heart,C0425631,Left parasternal pansystolic murmur
497,Left ventricular abnormality,heart,C0344905,Left ventricular abnormality
498,Left ventricular aneurysm,heart,C0519097,Left ventricular aneurysm
499,Left ventricular diastolic dysfunction,heart,C1963158,Left Ventricular Diastolic Dysfunction Adverse Event
500,Left ventricular mass,heart,C0455825,Left ventricular mass
501,Left ventricular outflow tract abnormality,heart,C4284103,Left Ventricular Outflow Tract
502,Left ventricular outflow tract obstruction,heart,C0344917,Left ventricular outflow tract obstruction
503,Left ventricular systolic dysfunction,heart,C1277187,Left ventricular systolic dysfunction
504,Limb ischemia,heart,C2945695,Limb ischemia
505,Lone atrial fibrillation,heart,C0340489,Lone atrial fibrillation
506,Lymphocytic myocarditis,heart,C1960273,Lymphocytic myocarditis
507,Malignant endocarditis,heart,C0264870,Malignant endocarditis
508,Malignant pericardial effusion,heart,C0205282,Malignant - descriptor
509,Malignant pericardial effusion,heart,C0031039,Pericardial effusion
510,Malouf syndrome,heart,C0796031,Malouf syndrome
511,Maternal hypertension,heart,C0026591,Mother (person)
512,Maternal hypertension,heart,C1963138,Hypertension Adverse Event
513,Measles,heart,C0025010,Measles Vaccine
514,Measles pneumonia,heart,C0339976,Measles pneumonia
515,Mediastinal crunch,heart,C0232273,Mediastinal crunch
516,Milk spots of pericardium,heart,C0265126,Milk spots of pericardium
517,Milk spots of pericardium,heart,C0031050,Pericardial sac structure
518,Mixed dementia,heart,C3532942,Mixed dementia
519,Mobitz type I incomplete atrioventricular block,heart,C0264907,Mobitz type I incomplete atrioventricular block
520,Mobitz type I incomplete atrioventricular block,heart,C0728938,Partial
521,Mobitz type I incomplete atrioventricular block,heart,C0004245,Atrioventricular Block
522,Multifocal atrial tachycardia,heart,C0221158,Multifocal atrial tachycardia
523,Mural thrombus of heart,heart,C0333205,Mural thrombus
524,Mural thrombus of heart,heart,C0018787,Heart
525,Muscular ventricular septum defect,heart,C0685707,Muscular ventricular septum defect
526,Mycotic pericarditis,heart,C0276647,Mycotic pericarditis
527,Myocardial degeneration,heart,C0027046,Myocardial degeneration
528,Myocardial dysfunction,heart,C0340515,Myocardial dysfunction
529,Myocardial lesion,heart,C0577812,Myocardial lesion
530,Myocardial necrosis,heart,C0027051,Myocardial Infarction
531,Myocardial perfusion defect,heart,C0428858,Myocardial perfusion defect
532,Myocardial perfusion normal,heart,C0428857,Myocardial perfusion
533,Myocarditis,heart,C0027059,Myocarditis
534,Myocarditis due to infectious agent,heart,C0027059,Myocarditis
535,Myocarditis due to infectious agent,heart,C0314732,Infectious agent
536,Myxoid transformation of mitral valve,heart,C0205295,Myxoid
537,Myxoid transformation of mitral valve,heart,C0040682,cell transformation
538,Myxoid transformation of mitral valve,heart,C0026264,Mitral Valve
539,Myxoid transformation of tricuspid valve,heart,C0205295,Myxoid
540,Myxoid transformation of tricuspid valve,heart,C0040682,cell transformation
541,Myxoid transformation of tricuspid valve,heart,C0040960,Tricuspid valve structure
542,Narrow pulse pressure,heart,C0240840,Narrow pulse pressure
543,Necrotizing cutaneous vasculitis,heart,C1304407,Necrotizing cutaneous vasculitis
544,Necrotizing vasculitis,heart,C1318520,Necrotizing vasculitis
545,Neoplasm of myocardium,heart,C1882062,Neoplastic disease
546,Neoplasm of myocardium,heart,C0027061,Myocardium
547,Nephrosclerosis,heart,C0027719,Nephrosclerosis
548,Nodular vasculitis,heart,C0028258,Nodular vasculitis
549,Nonsustained ventricular tachycardia,heart,C0344428,Ventricular Tachycardia by ECG Finding
550,Normal blood pressure,heart,C2712122,Normal blood pressure
551,Normal blood volume,heart,C0232091,Normal blood volume
552,Normal cardiac conduction,heart,C0232218,Normal cardiac conduction
553,Normal heart rate,heart,C2712143,Normal heart rate
554,Normal pulmonary arterial wedge pressure,heart,C0520849,Normal pulmonary arterial wedge pressure
555,Normal pulse,heart,C0277898,Normal pulse
556,Normal sinus rhythm,heart,C0205307,Normal
557,Normal sinus rhythm,heart,C1305231,Sinus - general anatomical term
558,Normal systolic arterial pressure,heart,C0277882,Normal systolic arterial pressure
559,Normal vascular flow,heart,C0205307,Normal
560,Normal vascular flow,heart,C0232338,Blood flow
561,Normal ventilation-perfusion ratio,heart,C0205307,Normal
562,Normal ventilation-perfusion ratio,heart,C0042495,Ventilation-Perfusion Ratio
563,Omphalophlebitis,heart,C0270174,Omphalophlebitis
564,Paired ventricular premature complexes,heart,C1709450,Pair
565,Paired ventricular premature complexes,heart,C0151636,Premature ventricular contractions
566,Palpitations,heart,C0030252,Palpitations
567,Pancarditis,heart,C0030270,Pancarditis
568,Pansystolic murmur,heart,C0232258,Pansystolic murmur
569,Papillary fibroelastoma,heart,C1947920,Papillary fibroelastoma
570,Parachute malformation of mitral valve,heart,C0546965,Parachute malformation of mitral valve
571,Parachute malformation of mitral valve,heart,C0026264,Mitral Valve
572,Paralytic stroke,heart,C1263853,Paralytic stroke
573,Parasitic myocarditis,heart,C0340416,Parasitic myocarditis
574,Paroxysmal atrial fibrillation,heart,C4050122,Paroxysmal Atrial Fibrillation by ECG Finding
575,Paroxysmal familial ventricular fibrillation,heart,C0340493,Paroxysmal familial ventricular fibrillation
576,Paroxysmal hypertension,heart,C0221154,Paroxysmal hypertension
577,Paroxysmal supraventricular tachycardia,heart,C0030590,Paroxysmal supraventricular tachycardia
578,Partial atrioventricular block,heart,C0728938,Partial
579,Partial atrioventricular block,heart,C0004245,Atrioventricular Block
580,Partial retinal artery occlusion,heart,C0154839,Partial retinal artery occlusion
581,Patent ductus arteriosus,heart,C0013274,Patent ductus arteriosus
582,Periarteritis,heart,C0264988,Periarteritis
583,Pericardial effusion,heart,C0031039,Pericardial effusion
584,Pericardial effusion - noninflammatory,heart,C0031039,Pericardial effusion
585,Pericardial effusion - noninflammatory,heart,C0442743,Noninflammatory
586,Pericardial friction rub,heart,C0232267,Pericardial friction rub
587,Pericarditis,heart,C0031046,Pericarditis
588,Pericarditis secondary to uremia,heart,C0031046,Pericarditis
589,Pericarditis secondary to uremia,heart,C0175668,Secondary to
590,Pericarditis secondary to uremia,heart,C0041948,Uremia
591,Perimembranous ventricular septal defect,heart,C0344925,Perimembranous ventricular septal defect
592,Peripheral ischemia,heart,C0235490,Peripheral ischemia
593,Peripheral pulmonary artery stenosis,heart,C0345030,Peripheral pulmonary artery stenosis
594,Peripheral vascular alteration,heart,C0205100,Peripheral
595,Peripheral vascular alteration,heart,C1515926,Alteration
596,Peripheral vascular complication,heart,C0161817,Peripheral vascular complication
597,Periphlebitis,heart,C0031129,Periphlebitis
598,Phlebitis,heart,C0031542,Phlebitis
599,Phlebitis of portal vein,heart,C0031542,Phlebitis
600,Phlebitis of portal vein,heart,C0032718,Portal vein structure
601,Pneumopericardium,heart,C0032319,Pneumopericardium
602,Polyarteritis,heart,C0264992,Polyarteritis
603,Portal vein obstruction,heart,C0265029,Portal vein obstruction
604,Portal vein thrombosis,heart,C0155773,Portal vein thrombosis
605,Postmyocardial infarction syndrome,heart,C0152107,Postmyocardial infarction syndrome
606,Postoperative hypertension,heart,C0032790,Postoperative Period
607,Postoperative hypertension,heart,C1963138,Hypertension Adverse Event
608,Poststenotic dilatation,heart,C1299346,Poststenotic dilatation
609,Pounding heart,heart,C0235240,Pounding heart
610,Preductal coarctation of aorta,heart,C0265878,Preductal coarctation of aorta
611,Preductal coarctation of aorta,heart,C0003483,Aorta
612,Prehypertension,heart,C1696708,Prehypertension
613,Primary endocardial fibroelastosis,heart,C0265876,Primary endocardial fibroelastosis
614,Primary systemic vasculitis,heart,C0343187,Primary systemic vasculitis
615,Prosthetic valve endocarditis,heart,C0340359,Prosthetic valve endocarditis
616,Pseudoaneurysm,heart,C0162868,False aneurysm of artery
617,Pulmonary arterial hypertension,heart,C2973725,Pulmonary arterial hypertension
618,Pulmonary arteritis,heart,C0003861,Pulmonary arteritis
619,Pulmonary artery aneurysm,heart,C0155676,Pulmonary artery aneurysm
620,Pulmonary artery thrombosis,heart,C0151947,Pulmonary artery thrombosis
621,Pulmonary capillary hemangiomatosis,heart,C0340548,Pulmonary capillary hemangiomatosis
622,Pulmonary endarteritis,heart,C0264931,Pulmonary endarteritis
623,Pulmonary thrombosis,heart,C0151946,Pulmonary thrombosis
624,Pulmonary valve disorder,heart,C0034087,Pulmonary valve disorder
625,Pulmonary venous congestion,heart,C0582411,Pulmonary venous congestion
626,Pulmonary venous thrombosis,heart,C0392108,Pulmonary venous thrombosis
627,Pulse irregular,heart,C0391850,Physiologic pulse
628,Pulseless ventricular tachycardia,heart,C0750196,Pulseless ventricular tachycardia
629,Pulsus paradoxus,heart,C0232118,Pulsus paradoxus
630,Pulsus trigeminus,heart,C0232119,Pulsus trigeminus
631,Raised jugular venous pressure,heart,C0442818,Raised
632,Raised jugular venous pressure,heart,C0428897,Jugular venous pressure
633,Re-entrant atrioventricular tachycardia,heart,C0340477,Re-entrant atrioventricular tachycardia
634,Reflex bradycardia,heart,C0232191,Reflex bradycardia
635,Reflex tachycardia,heart,C1328539,Reflex tachycardia
636,Refractory heart failure,heart,C1281998,Refractory heart failure
637,Refractory hypotension,heart,C4304283,Refractory hypotension
638,Renal hypertension,heart,C0020544,Renal hypertension
639,Renal infarction,heart,C0035085,Renal infarction
640,Renal vascular disorder,heart,C0268790,Renal vascular disorder
641,Renal vasculitis,heart,C0152002,Renal vasculitis
642,Restrictive cardiomyopathy,heart,C0007196,Restrictive cardiomyopathy
643,Retinal telangiectasia,heart,C0154835,Retinal telangiectasia
644,Retinal vascular occlusion,heart,C0035331,Retinaldehyde
645,Retinal vascular occlusion,heart,C1096458,Vascular occlusion
646,Retinal venous engorgement,heart,C0035331,Retinaldehyde
647,Retinal venous engorgement,heart,C0042484,Venous Engorgement
648,Rhythm from artificial pacing,heart,C1523018,rhythmic process (biological)
649,Rhythm from artificial pacing,heart,C0007168,"Cardiac Pacing, Artificial"
650,Right atrial appendage aneurysm,heart,C0344706,Right atrial appendage aneurysm
651,Right atrial dilatation,heart,C0344709,Right atrial dilatation
652,Right atrial enlargement,heart,C0232308,P pulmonale by EKG (finding)
653,Right axis deviation,heart,C0232296,Right axis deviation
654,Right bundle branch block,heart,C0085615,Right bundle branch block
655,Right hypoplastic heart syndrome,heart,C0344963,Right hypoplastic heart syndrome
656,Right ventricular aneurysm,heart,C2063380,Right ventricular aneurysm
657,Right ventricular failure,heart,C0235527,"Heart Failure, Right-Sided"
658,Right ventricular mass,heart,C0455860,Right ventricular mass
659,Right ventricular systolic dysfunction,heart,C1562095,Right ventricular systolic dysfunction
660,Roger's disease,heart,C0238522,Roger's disease
661,Rubella,heart,C0035920,Rubella
662,Rubella arthritis,heart,C0276308,Rubella arthritis
663,Rubella encephalomyelitis,heart,C0033359,Rubella encephalomyelitis
664,Rupture of artery,heart,C3203359,Rupture
665,Rupture of artery,heart,C0003842,Arteries
666,Rupture of chordae tendineae,heart,C3203359,Rupture
667,Rupture of chordae tendineae,heart,C0008484,Structure of chordae tendineae cordis
668,Ruptured abdominal aortic aneurysm,heart,C0265012,Ruptured abdominal aortic aneurysm
669,Ruptured cerebral aneurysm,heart,C0242084,Ruptured cerebral aneurysm
670,Secondary dilated cardiomyopathy,heart,C0264795,Secondary dilated cardiomyopathy
671,Secondary hypertension,heart,C0155616,Secondary hypertension
672,Secondary pulmonary hypertension,heart,C0264936,Secondary pulmonary hypertension
673,Senile angioma,heart,C0343082,Senile angioma
674,Senile cardiac amyloidosis,heart,C0268407,Senile cardiac amyloidosis
675,Senile sclerosis of aortic cusp,heart,C0036429,Sclerosis
676,Senile sclerosis of aortic cusp,heart,C0225958,Structure of cusp of aortic valve
677,Septic pulmonary embolism,heart,C1955781,Septic pulmonary embolism
678,Septic thrombophlebitis,heart,C0740341,Septic thrombophlebitis
679,Severe pre-eclampsia,heart,C0205082,Severe (severity modifier)
680,Severe pre-eclampsia,heart,C0032914,Pre-Eclampsia
681,Shunting vascular flow,heart,C0232350,Shunting vascular flow
682,Single coronary artery,heart,C0265903,Single coronary artery
683,Single right ventricle,heart,C0546268,Single right ventricle
684,Single umbilical artery,heart,C1384670,Single umbilical artery
685,Sinus bradycardia,heart,C2108107,continuous electrocardiogram sinus bradycardia (finding)
686,Sinus rhythm,heart,C1305231,Sinus - general anatomical term
687,Small vessel vasculitis,heart,C4023113,Small vessel vasculitis
688,Soft systolic murmur,heart,C0425623,Soft systolic murmur
689,Spider nevus,heart,C0085666,Spider nevus
690,Spinal arteriovenous malformation,heart,C0348023,Spinal arteriovenous malformation
691,Splenic vein thrombosis,heart,C0272416,Splenic vein thrombosis
692,Stable angina,heart,C0205360,Stable status
693,Stable angina,heart,C0002962,Angina Pectoris
694,Stable blood pressure,heart,C0428896,Stable blood pressure
695,Staphylococcal endocarditis,heart,C0520767,Staphylococcal endocarditis
696,Stenosis of middle cerebral artery,heart,C2632116,Stenosis (invertebrate)
697,Stenosis of middle cerebral artery,heart,C0149566,Structure of middle cerebral artery
698,Strawberry nevus of skin,heart,C0206733,Strawberry nevus of skin
699,Strawberry nevus of skin,heart,C1123023,Skin
700,Stricture of artery,heart,C1261287,Stenosis
701,Stricture of artery,heart,C0003842,Arteries
702,Subacute endocarditis,heart,C0264863,Subacute endocarditis
703,Subaortic stenosis,heart,C0340375,Subaortic stenosis
704,Subclavian vein stenosis,heart,C0340754,Subclavian vein stenosis
705,Subendocardial myocardial infarction,heart,C0262568,Subendocardial myocardial infarction
706,Summation gallop,heart,C0425594,Summation gallop
707,Supine hypertension,heart,C4076686,Supine hypertension
708,Suppurative phlebitis,heart,C0265051,Suppurative phlebitis
709,Supraventricular arrhythmia,heart,C0428974,Supraventricular arrhythmia
710,Supraventricular tachycardia,heart,C0039240,Supraventricular tachycardia
711,Systemic lupus erythematosus encephalitis,heart,C0393968,Systemic lupus erythematosus encephalitis
712,Systolic anterior movement of mitral valve,heart,C0039155,Systole
713,Systolic anterior movement of mitral valve,heart,C0026649,Movement
714,Systolic anterior movement of mitral valve,heart,C0026264,Mitral Valve
715,Systolic dysfunction,heart,C0749225,Systolic dysfunction
716,Systolic hypertension,heart,C0221155,Systolic hypertension
717,Tachyarrhythmia,heart,C0080203,Tachyarrhythmia
718,Tachycardia,heart,C0039231,Tachycardia
719,Tachycardia-induced cardiomyopathy,heart,C1960445,Tachycardia-induced cardiomyopathy
720,Talc embolism,heart,C3494939,Talc embolism
721,Telangiectasis,heart,C0039446,Telangiectasis
722,Tetralogy of Fallot,heart,C0039685,Tetralogy of Fallot
723,Tetralogy of Fallot,heart,C1418436,PDGFC gene
724,Thickened mitral leaflet,heart,C0205400,Thickened
725,Thickened mitral leaflet,heart,C0225950,Structure of anterior leaflet of mitral valve
726,Thromboarteritis,heart,C0264982,Thromboarteritis
727,Thromboembolism of vein,heart,C0040038,Thromboembolism
728,Thromboembolism of vein,heart,C0042449,Veins
729,Thrombophlebitis,heart,C0040046,Thrombophlebitis
730,Thrombophlebitis migrans,heart,C0152250,Thrombophlebitis migrans
731,Thrombophlebitis of pelvic vein,heart,C0040046,Thrombophlebitis
732,Thrombophlebitis of pelvic vein,heart,C0226791,Structure of pelvic vein
733,Thrombosis of abdominal aorta,heart,C0040053,Thrombosis
734,Thrombosis of abdominal aorta,heart,C0003484,Abdominal aorta structure
735,Thrombosis of blood vessel,heart,C0040053,Thrombosis
736,Thrombosis of blood vessel,heart,C0005847,Blood Vessel
737,Thrombosis of cerebral veins,heart,C0040053,Thrombosis
738,Thrombosis of cerebral veins,heart,C0007797,Structure of cerebral vein
739,Thrombosis of internal jugular vein,heart,C0040053,Thrombosis
740,Thrombosis of internal jugular vein,heart,C0226550,Internal jugular vein structure
741,Thrombosis of renal vein,heart,C0040053,Thrombosis
742,Thrombosis of renal vein,heart,C0035092,Structure of renal vein
743,Thrombosis of subclavian vein,heart,C0040053,Thrombosis
744,Thrombosis of subclavian vein,heart,C0038532,Structure of subclavian vein
745,Thrombosis of vena cava,heart,C0040053,Thrombosis
746,Thrombosis of vena cava,heart,C0042460,Vena cava structure
747,Thrombotic stroke,heart,C0242129,Thrombotic stroke
748,Thyrotoxic heart disease,heart,C0264792,Thyrotoxic heart disease
749,Torsade de pointes with short coupling interval syndrome,heart,C1963250,Torsade de Pointes Adverse Event
750,Torsade de pointes with short coupling interval syndrome,heart,C3150851,Torsade de pointes with short coupling interval syndrome
751,Totally absent pericardium,heart,C4285062,Pharyngeal Stripping Wave Absent
752,Totally absent pericardium,heart,C0031050,Pericardial sac structure
753,Transient arterial retinal occlusion,heart,C0040704,Transient Population Group
754,Transient arterial retinal occlusion,heart,C0007688,Central Retinal Artery Occlusion
755,Transient hypertension of pregnancy,heart,C0040704,Transient Population Group
756,Transient hypertension of pregnancy,heart,C1963138,Hypertension Adverse Event
757,Transient hypertension of pregnancy,heart,C0032961,Pregnancy
758,Transient hypotension,heart,C0040704,Transient Population Group
759,Transient hypotension,heart,C0020649,Hypotension
760,Transient ischemia,heart,C0040704,Transient Population Group
761,Transient ischemia,heart,C0022116,Ischemia
762,Transplant renal artery stenosis,heart,C4075713,Transplant renal artery stenosis
763,Tricuspid valve disorder,heart,C0264882,Tricuspid valve disorder
764,Tropical endomyocardial fibrosis,heart,C2882252,Tropical endomyocardial fibrosis
765,Two chambered right ventricle,heart,C0225883,Right ventricular structure
766,Ulcer of artery,heart,C3887532,Ulceration
767,Ulcer of artery,heart,C0003842,Arteries
768,Unifocal PVCs,heart,C0443337,Unifocal
769,Unifocal PVCs,heart,C0151636,Premature ventricular contractions
770,Urticarial vasculitis,heart,C0343206,Hypocomplementemic urticarial vasculitis
771,Valvular endocarditis,heart,C0264865,Valvular endocarditis
772,Valvular regurgitation,heart,C0042300,Valvular regurgitation
773,Valvular sclerosis,heart,C1561993,Valvular sclerosis
774,Varicocele,heart,C0042341,Varicocele
775,Vascular calcification,heart,C0342649,Vascular calcification
776,Vascular degeneration,heart,C1281300,Vascular degeneration
777,Vascular disorder of liver,heart,C0042373,Vascular Diseases
778,Vascular disorder of liver,heart,C0736268,Liver parenchyma
779,Vascular graft infection,heart,C0340896,Vascular graft infection
780,Vascular insufficiency,heart,C0232352,Vascular insufficiency
781,Vascular insufficiency of intestine,heart,C0232352,Vascular insufficiency
782,Vascular insufficiency of intestine,heart,C0021853,Intestines
783,Vascular purpura,heart,C1368065,Vascular purpura
784,Vasculitis,heart,C0042384,Vasculitis
785,Vasculitis of mesenteric artery,heart,C0042384,Vasculitis
786,Vasculitis of mesenteric artery,heart,C0025465,Mesenteric Arteries
787,Vasculitis of the skin,heart,C0042384,Vasculitis
788,Vasculitis of the skin,heart,C1123023,Skin
789,Vasovagal syncope,heart,C0042420,Vasovagal syncope
790,Vegetative endocarditis,heart,C4021200,Vegetative auras
791,Vegetative endocarditis,heart,C0014118,Endocarditis
792,Venous air embolism,heart,C0595954,Venous air embolism
793,Venous embolism,heart,C0340726,Venous embolism
794,Venous hypertension,heart,C0340766,Venous hypertension
795,Venous lake,heart,C0948672,Venous lake
796,Venous puncture,heart,C0340778,Venous puncture
797,Ventricular aneurysm,heart,C0392464,Ventricular aneurysm
798,Ventricular arrhythmia,heart,C0344424,Ventricular Arrhythmia by ECG Finding
799,Ventricular hypertrophy,heart,C0340279,Ventricular hypertrophy
800,Ventricular septal defect between left ventricle and right atrium,heart,C0018818,Ventricular Septal Defects
801,Ventricular septal defect between left ventricle and right atrium,heart,C0225897,Left ventricular structure
802,Ventricular septal defect between left ventricle and right atrium,heart,C0225844,Right atrial structure
803,"Ventricular tachycardia, polymorphic",heart,C0344428,Ventricular Tachycardia by ECG Finding
804,"Ventricular tachycardia, polymorphic",heart,C1882417,Polymorphism
805,Viral myocarditis,heart,C0276138,Viral myocarditis
806,Viral pericarditis,heart,C0276139,Viral pericarditis
807,Weak arterial pulse,heart,C1762617,Weak
808,Weak arterial pulse,heart,C0232108,Arterial pulse pressure
809,Acute exacerbation of chronic obstructive airways disease,COPD,C0743630,exacerbation acute
810,Acute exacerbation of chronic obstructive airways disease,COPD,C0024117,Chronic Obstructive Airway Disease
811,Asthma-chronic obstructive pulmonary disease overlap syndrome,COPD,C4038730,Asthma-chronic obstructive pulmonary disease overlap syndrome
812,Chronic bullous emphysema,COPD,C1261120,Chronic bullous emphysema
813,Mild chronic obstructive pulmonary disease,COPD,C0730604,Mild chronic obstructive pulmonary disease
814,Obstructive emphysema,COPD,C0241876,Obstructive emphysema
815,Paraseptal emphysema,COPD,C0264394,Paraseptal emphysema
816,Severe chronic obstructive pulmonary disease,COPD,C0205082,Severe (severity modifier)
817,Severe chronic obstructive pulmonary disease,COPD,C0024117,Chronic Obstructive Airway Disease
818,Cigar smoker,smoking,C0337666,Cigar smoker
819,Heavy cigarette smoker,smoking,C1704760,Cigarette Dosage Form
820,Never smoked tobacco,smoking,C2003901,Never (frequency)
821,Never smoked tobacco,smoking,C4086859,Smoked Plum
822,Non-smoker,smoking,C0337672,Non-smoker
823,Pipe smoker,smoking,C0337665,Pipe smoker
824,Smokes tobacco daily,smoking,C0439994,Tobacco smoke
825,Smokes tobacco daily,smoking,C0332173,Daily
826,Stopped smoking,smoking,C0425310,Stopped smoking
827,Carotid artery occlusion,cerbro,C0265101,Carotid artery occlusion
828,Carotid artery rupture,cerbro,C0340659,Carotid artery rupture
829,Cavernous sinus syndrome,cerbro,C0271347,Cavernous sinus syndrome
830,Cerebellar stroke,cerbro,C2674383,Cerebellar stroke
831,Cerebral arteritis,cerbro,C0007773,Cerebral arteritis
832,Cerebral vasoconstriction syndrome,cerbro,C3838926,Cerebral vasoconstriction syndrome
833,Cerebral venous sinus thrombosis,cerbro,C0338573,Cerebral venous sinus thrombosis
834,Cerebrospinal angiopathy,cerbro,C0276094,Cerebrospinal angiopathy
835,Cerebrovascular accident,cerbro,C1880018,Cerebrovascular
836,Cerebrovascular amyloidosis,cerbro,C0520574,Cerebrovascular amyloidosis
837,Chronic cerebrovascular accident,cerbro,C0205191,chronic
838,Congenital intracranial vascular malformation,cerbro,C1522213,Intracranial Route of Drug Administration
839,Congenital intracranial vascular malformation,cerbro,C0158570,Vascular anomaly
840,Embolic stroke,cerbro,C0262469,Embolic stroke
841,Hereditary cystatin C amyloid angiopathy,cerbro,C3839957,Hereditary cystatin C amyloid angiopathy
842,Intracranial thrombophlebitis,cerbro,C0281884,Intracranial thrombophlebitis
843,Ischemic stroke,cerbro,C0475224,Ischemic
844,Mixed dementia,cerbro,C3532942,Mixed dementia
845,Paralytic stroke,cerbro,C1263853,Paralytic stroke
846,Ruptured cerebral aneurysm,cerbro,C0242084,Ruptured cerebral aneurysm
847,Stenosis of middle cerebral artery,cerbro,C2632116,Stenosis (invertebrate)
848,Stenosis of middle cerebral artery,cerbro,C0149566,Structure of middle cerebral artery
849,Systemic lupus erythematosus encephalitis,cerbro,C0393968,Systemic lupus erythematosus encephalitis
850,Thrombosis of cerebral veins,cerbro,C0040053,Thrombosis
851,Thrombosis of cerebral veins,cerbro,C0007797,Structure of cerebral vein
852,Thrombotic stroke,cerbro,C0242129,Thrombotic stroke
853,Acanthosis palmaris,cancer,C0406352,Acanthosis palmaris
854,Acute biphenotypic leukemia,cancer,C0023464,Acute biphenotypic leukemia
855,Acute leukemia,cancer,C0085669,Acute leukemia
856,Acute monocytic leukemia,cancer,C0023465,Acute monocytic leukemia
857,Acute monocytic/monoblastic leukemia,cancer,C3831784,Acute monocytic/monoblastic leukemia
858,Acute myeloid leukemia with multilineage dysplasia,cancer,C0023467,"Leukemia, Myelocytic, Acute"
859,Acute myeloid leukemia with multilineage dysplasia,cancer,C1292773,Acute myeloid leukemia with multilineage dysplasia
860,"Acute myeloid leukemia, minimal differentiation",cancer,C0023467,"Leukemia, Myelocytic, Acute"
861,"Acute myeloid leukemia, minimal differentiation",cancer,C2945599,Mild (qualifier value)
862,"Acute myeloid leukemia, minimal differentiation",cancer,C0007589,Cell Differentiation process
863,Acute panmyelosis with myelofibrosis,cancer,C0334674,Acute panmyelosis with myelofibrosis
864,Acute panmyelosis with myelofibrosis,cancer,C0001815,Primary Myelofibrosis
865,Adenocarcinoma in adenomatous polyp,cancer,C0001418,Adenocarcinoma
866,Adenocarcinoma in adenomatous polyp,cancer,C0206677,Adenomatous Polyps
867,Adenocarcinoma in tubulovillous adenoma,cancer,C0001418,Adenocarcinoma
868,Adenocarcinoma in tubulovillous adenoma,cancer,C0334307,Tubulovillous adenoma
869,Adenocarcinoma of anal glands,cancer,C0001418,Adenocarcinoma
870,Adenocarcinoma of anal glands,cancer,C0162322,Structure of anal gland
871,Adenocarcinoma of anus,cancer,C0001418,Adenocarcinoma
872,Adenocarcinoma of anus,cancer,C0003461,Anus
873,Adenocarcinoma of large intestine,cancer,C0001418,Adenocarcinoma
874,Adenocarcinoma of large intestine,cancer,C0549177,Large
875,Adenocarcinoma of large intestine,cancer,C0021853,Intestines
876,Adenocarcinoma of liver,cancer,C0001418,Adenocarcinoma
877,Adenocarcinoma of liver,cancer,C0736268,Liver parenchyma
878,Adenocarcinoma of pancreas,cancer,C0001418,Adenocarcinoma
